Method,Best Acc (%),Best Round,Final Acc (%),Final Loss,Avg K,Comm. Saving,Time (min)
FedAvg,39.67,197,39.48,2.3401,N/A,N/A,7.7
Fixed Top-K,35.59,200,35.59,2.5066,7206,97.1%,7.8
DSFL,28.10,190,27.65,2.8712,37732,85.0%,132.7
FEDS (Ours),38.49,199,38.45,2.3891,37580,85.0%,7.9
